sku,fullName,url,activo,categoria,subcategoria,precio_actual,precio_referencia,stock_actual,tipo_receta,laboratorio,marca,presentacion,composicion,principio_activo,principio_activo_id
126372,Mi Vit-C 500 mg x 30 Comprimidos,https://www.farmaloop.cl/products/mi-vitc-500-mg-x-30-comprimidos-126372/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),PRODUCTOS FARMACEUTICOS MEDIPHARM SPA,,Comprimido,acido ascorbico (vitamina c),Ac.Ascorbico (Vitamina C),acf5a112-8e10-489c-bca1-5c5b7c10f76d
61940,Multivitamínico + Minerales x 20 Comprimidos Efervescentes,https://www.farmaloop.cl/products/multivitaminico-minerales-x-20-comprimidos-efervescentes-61940/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),SOC MEDICA IMPORTADORA Y COMERCIALIZADORA BIOPLUS SPA,,Comprimido,acido ascorbico (vitamina c) | alfatocoferol (vitamina e) | tiamina (vitamina b1) | riboflavina (vitamina b2) | niacina (vitamina b3) | piridoxina (vitamina b6) | acido folico (vitamina b9) | cianocobalamina (vitamina b12) | acido pantotenico | biotina (vitamina h) | calcio | magnesio,"Ac.Ascorbico (Vitamina C),Alfatocoferol (Vitamina E),Tiamina (Vitamina B1),Riboflavina (Vitamina B2),Niacina (Vitamina B3),Piridoxina (Vitamina B6),Ac.Folico (Vitamina B9),Cianocobalamina (Vitamina B12),Acido Pantotenico,Biotina (Vitamina H),Calcio,Magnesio",f05de3fe-01e6-4080-90e3-9d6ba45a1c97
96492,Abecidin ACD x 30 ml Solución Oral Para Gotas,https://www.farmaloop.cl/products/abecidin-acd-x-30-ml-solucion-oral-para-gotas-96492/,true,Suplementos y Vitaminas,Vitaminas y Minerales,9470,11840,6,Presentación receta médica,LABORATORIO PASTEUR S.A.,,100 ml,acido ascorbico (vitamina c) | ascorbato de sodio | mezcla de retinol palmitato (vitamina a) y colecalciferol (vitamina d3) hidromiscible | retinol palmitato (vitamina a) hidromiscible,"Ac.Ascorbico (Vitamina C),Ascorbato De Sodio,Mezcla De Retinol Palmitato (Vitamina A) Y Colecalciferol (Vitamina D3) Hidromiscible,Retinol Palmitato (Vitamina A) Hidromiscible",d081dfd1-996c-4fe7-bdd6-f03bbbd60423
138473,Bion Allergo x 30 Comprimidos,https://www.farmaloop.cl/products/bion-allergo-x-30-comprimidos-138473/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),MERCK S.A.,,Comprimido,,"Ac.Ascorbico (Vitamina C),Celulosa Microcristalina,Hidroxipropilmetilcelulosa,Lactobacilus,Estearato De Magnesio,Maltodextrina,Dioxido De Titanio",8d9d21fa-eba3-4583-9c9b-1150d0c3ddb4
17040,Redoxon Doble Accion x 10 Comprimidos Efervescentes,https://www.farmaloop.cl/products/redoxon-doble-accion-x-10-comprimidos-efervescentes-17040/,true,Suplementos y Vitaminas,Vitaminas y Minerales,3990,4899,0,Venta directa (Sin receta),BAYER S.A.,,Comprimido,acido ascorbico (vitamina c) | zinc,"Ac.Ascorbico (Vitamina C),Zinc",930235a4-e5a0-453d-b62a-9974cc12ff47
139947,Betacar Solar x 60 Cápsulas,https://www.farmaloop.cl/products/betacar-solar-x-60-capsulas-139947/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),SIN COMPAÑIA,,Capsula,aceite de betacaroteno | vitamina e | aceite de propoleo | cera de abejas,"Aceite de Betacaroteno, Vitamina E, Aceite de Propóleo, Cera de Abejas",fd5ec17f-2338-4075-a362-cd95ab36b12e
110784,SpringLife Pepa de Calabaza Plus x 60 Capsulas Blandas,https://www.farmaloop.cl/products/springlife-pepa-de-calabaza-plus-x-60-capsulas-blandas-110784/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),MEDICAL INTERNATIONAL LABORATORIES CORPORATION S.A.,,Capsula,aceite de calabaza | licopeno,"Aceite De Calabaza,Licopeno",83978d05-3da5-4fcf-a00c-7eb21d81f1d2
96651,Phoslo Acetato De Calcio 667mg x 60 Comprimidos,https://www.farmaloop.cl/products/phoslo-acetato-de-calcio-667mg-x-60-comprimidos-96651/,true,Suplementos y Vitaminas,Suplementos,,,10,Presentación receta médica,LABORATORIO PASTEUR S.A.,,Comprimido,acetato de calcio,Acetato De Calcio,5c80b52c-ec44-471c-9fd9-2f1d279f3842
101017,Crevet Light Vitamina C 100mg 100 Comprimidos Masticables,https://www.farmaloop.cl/products/crevet-light-100-mg-x-100-comprimidos-masticables-101017/,true,Suplementos y Vitaminas,Vitaminas y Minerales,1990,2390,1,Venta directa (Sin receta),LABORATORIOS PRATER S A,,Comprimido,acido ascorbico (vitamina c),Acido Ascorbico (Vitamina C),64c9bca4-db9d-4269-9624-841b8d1f895c
139038,Vitamina C 500 mg x 60 Comprimidos,https://www.farmaloop.cl/products/vitamina-c-500-mg-x-60-comprimidos-139038/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),SUPLALIM LTDA,,Comprimido,acido ascorbico (vitamina c),Acido Ascorbico (Vitamina C),64c9bca4-db9d-4269-9624-841b8d1f895c
138649,Vitamina C 1000 mg x 60 Comprimidos,https://www.farmaloop.cl/products/vitamina-c-1000-mg-x-60-comprimidos-138649/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),SUPLALIM LTDA,,Comprimido,,Acido Ascorbico (Vitamina C),64c9bca4-db9d-4269-9624-841b8d1f895c
139008,Vitamina C 1000 mg Sunvit 60 Comprimidos,https://www.farmaloop.cl/products/vitamina-c-sunvit-1000-mg-x-60-comprimidos-139008/,true,Suplementos y Vitaminas,Vitaminas y Minerales,9800,13990,5,Venta directa (Sin receta),SOC. COM. NLS NUTRALINE SUPLEMENT LTDA.,,Comprimido,acido ascorbico (vitamina c) 1000 mg,Acido Ascorbico (Vitamina C),64c9bca4-db9d-4269-9624-841b8d1f895c
138717,Vitamina C 500mg 30 Comprimidos Masticables,https://www.farmaloop.cl/products/vitamina-c-500-mg-x-120-capsulas-138717/,true,Suplementos y Vitaminas,Vitaminas y Minerales,1500,2500,1,Venta directa (Sin receta),MDC HEALTH SPA,,100 g,,Acido Ascorbico (Vitamina C),64c9bca4-db9d-4269-9624-841b8d1f895c
140585,Abecidin ACD x 30 ml Solución Oral Para Gotas,https://www.farmaloop.cl/products/abecidin-acd-x-30-ml-solucion-oral-para-gotas-140585/,false,Suplementos y Vitaminas,Vitaminas,,,0,Presentación receta médica,LABORATORIO PASTEUR S.A.,,100 ml,acido ascorbico (vitamina c) | ascorbato de sodio | mezcla de retinol palmitato (vitamina a) y colecalc,"ACIDO ASCORBICO (VITAMINA C),ASCORBATO DE SODIO,MEZCLA DE RETINOL PALMITATO (VITAMINA A) Y COLECALC",a0ea44fe-3353-4454-9edd-59df87421acc
140553,Vitayde-C Vitaminas ACD Gotas 30 ml,https://www.farmaloop.cl/products/vitaydec-gotas-30-ml-140553/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,5,Venta directa (Sin receta),LABORATORIOS SAVAL S A,,100 ml,acido ascorbico | colecalciferol | retinol,Acido Ascorbico / Colecalciferol / Retinol,20264e14-7ac8-4962-807d-6789b9d4f59e
86131,Fenokomp 39 x 90 Comprimidos,https://www.farmaloop.cl/products/fenokomp-39-x-90-comprimidos-86131/,true,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),KNOP LABORATORIOS S.A.,,Comprimido,acido citrico | belladona | fenolftaleina | nux vomica,"Acido Citrico,Belladona,Fenolftaleina,Nux Vomica",bb4abd6b-6a93-4a31-bd13-6343228b5aad
139091,Subra Support Brain 60 Cápsulas,https://www.farmaloop.cl/products/subra-support-brain-x-60-capsulas-139091/,true,Suplementos y Vitaminas,Vitaminas y Minerales,21690,24690,0,Venta directa (Sin receta),PRODUCTOS FARMACÉUTICOS Y NUTRACÉUTICOS NEUROPHARMA LIMITADA,,Capsula,,"Acido Folico (Vitamina B9),Calciferol (Vitaminas D),Cianocobalamina (Vitamina B12),Piridoxina (Vitamina B6)",69809ba4-1778-4e52-820f-2d791813219f
138843,Bion 3 Mini x 30 Comprimidos,https://www.farmaloop.cl/products/bion-3-mini-x-30-comprimidos-138843/,true,Suplementos y Vitaminas,Vitaminas y Minerales,17490,17490,0,Venta directa (Sin receta),MERCK S.A.,,Comprimido,alfa tocoferol (vit e) | acido ascorbico (vit c) | bifidobacterium | biotina | calcio | cianocobalamina (vit b12) | ciolecalciferol | acido folico | hierro | lactobacillus | niacina | acido pantotenico | piridoxina (vit b6) | retinol (vitamina a) | riboflavina (vitamina b2),"Alfa Tocoferol (Vit E),Ac.Ascorbico (Vit C),Bifidobacterium,Biotina,Calcio,Cianocobalamina (Vit B12),Ciolecalciferol,Ac.Folico,Hierro,Lactobacillus,Niacina,Acido Pantotenico,Piridoxina (Vit B6),Retinol (Vitamina A),Riboflavina (Vitamina B2)",9186c8c6-a272-4eec-8e8f-2b8196113b60
139732,Bion 3 x 60 Comprimidos,https://www.farmaloop.cl/products/bion-3-x-60-comprimidos-139732/,true,Suplementos y Vitaminas,Vitaminas y Minerales,22890,25690,0,Venta directa (Sin receta),MERCK S.A.,,Comprimido,multivitamínico,"Alfa Tocoferol (Vitamina E),Ac.Ascorbico (Vitamina C),Biotina,Calcio Fosfato,Calcio Pantotenato (Vitamina B5),Calcitriol (Vitamina D),Cianocobalamina (Vitamina B12),Sulfato De Cobre,Cromo,Fitomenadiona (Vitamina K1),Ac.Folico (Vitamina B9),Hierro Sulfato,Lactobacillus,Magnesio Oxido",c6a986cc-f550-4e22-bb75-74184aba7e23
139162,Bion 3 x 30 Comprimidos,https://www.farmaloop.cl/products/bion-3-x-30-comprimidos-139162/,true,Suplementos y Vitaminas,Vitaminas y Minerales,13990,13999,2,Venta directa (Sin receta),MERCK S.A.,,Comprimido,alfa tocoferol (vitamina e) | acido ascorbico (vitamina c) | biotina | calcio fosfato | calcio pantotenato | calcitriol | cianocobalamina (vitamina b12) | sulfato de cobre | cromo | fitomenadiona (vitamina k1) | acido folico | sulfato de hierro | lactobacillus | oxido de mag,"Alfa Tocoferol (Vitamina E),Ac.Ascorbico (Vitamina C),Biotina,Calcio Fosfato,Calcio Pantotenato,Calcitriol,Cianocobalamina (Vitamina B12),Sulfato De Cobre,Cromo,Fitomenadiona (Vitamina K1),Ac.Folico,Sulfato De Hierro,Lactobacillus,Oxido De Mag",37ffd669-5f33-40d2-9922-e4c09cdeae63
110731,Vitamina E 400 UI 30 Cápsulas,https://www.farmaloop.cl/products/vitamina-e-400-ui-x-30-capsulas-110731/,true,Suplementos y Vitaminas,Vitaminas y Minerales,4500,5990,3,Venta directa (Sin receta),American Nutrition,,Capsula,,Alfatocoferol (Vitamina E),4606f132-268a-487f-ac66-dd9a3b9172fa
15070,Vitamina E 400 UI x 30 Capsulas,https://www.farmaloop.cl/products/vitamina-e-400-ui-x-30-capsulas-15070/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),MDC HEALTH SPA,,Capsula,alfatocoferol (vitamina e),Alfatocoferol (Vitamina E),4606f132-268a-487f-ac66-dd9a3b9172fa
139768,Vitamina E 400 UI x 30 Capsulas Blandas,https://www.farmaloop.cl/products/vitamina-e-400-ui-x-30-capsulas-blandas-139768/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),SUPLALIM LTDA,,Capsula,,Alfatocoferol (Vitamina E),4606f132-268a-487f-ac66-dd9a3b9172fa
139201,Bion Transit x 30 Capsulas,https://www.farmaloop.cl/products/bion-transit-x-30-capsulas-139201/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),MERCK S.A.,,Capsula,,"Almidon De Papa,Hydroxipropilmetilcelulosa,Lactobacillus Plantarum Lp299v,Estearato De Magnesio",37ad6abf-ab6e-4d7e-8ab9-625e0b07f794
140603,Aloe Ferox 150 mg x 60 cápsulas,https://www.farmaloop.cl/products/aloe-ferox-150-mg-x-60-capsulas-140603/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),LABORATORIO MEGALABS CHILE S.A.,,Capsula,,Aloe Vera,9c71db2b-378d-405b-b3c1-2abaf2d45abf
139955,Bioxantin Pro Age 30 Caps Nutrapharm,https://www.farmaloop.cl/products/bioxantin-pro-age-30-caps-nutrapharm-139955/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),NUTRAPHARM,,Capsula,antioxidantes: astaxantina | luteina | calafate y vitaminas,"Antioxidantes: Astaxantina, Luteína, Calafate y Vitaminas",ecc61403-caec-4df9-85ae-44b29df3a5bb
139418,Maqui5000 440 mg x 30 Capsulas,https://www.farmaloop.cl/products/maqui5000-440-mg-x-30-capsulas-139418/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),VITAL AND YOUNG,,Capsula,aristotelia chilensis concentrado natural en polvo de fruto de maqui | vitis vinifera concentrado natural en polvo de uvas,"Aristotelia Chilensis Concentrado Natural En Polvo De Fruto De Maqui,Vitis Vinifera Concentrado Natural En Polvo De Uvas",07be86b8-1975-4e60-bc98-b379efa91224
139584,Bioxantin x 60 Capsulas,https://www.farmaloop.cl/products/bioxantin-x-60-capsulas-139584/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),NUTRAPHARM,,Capsula,astaxantina | alfatocoferol (vitamina e),"Astaxantina,Alfatocoferol (Vitamina E)",064c0eca-00aa-43db-a4ed-9c57876147b0
139979,Cerebrum Aura Vitalis / 60 Cápsulas,https://www.farmaloop.cl/products/cerebrum-aura-vitalis-60-capsulas-139979/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),SIN COMPAÑIA,,Capsula,avena extracto | alfalfa extracto lecitina de soya | almidon,"Avena Extracto, , Alfalfa Extracto Lecitina de Soya, Almidón",41b34354-a494-4543-ae56-5fa7dd2f7a22
117589,SpringLife Propoleo Eucaliptus x 10 Caramelos,https://www.farmaloop.cl/products/springlife-propoleo-eucaliptus-x-10-caramelos-117589/,true,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),MUNNICH PHARMA MEDICAL LIMITADA,,Unidades,azucar | jarabe de glucosa | miel | propoleo de abeja | mentol | esencia de eucaliptus,"Azucar,Jarabe De Glucosa,Miel,Propoleo De Abeja,Mentol,Esencia De Eucaliptus",85c96bc4-9d80-439b-bf76-7a3478cd7dd4
140625,Benelax Sabor Ciruela x 30 Sobres,https://www.farmaloop.cl/products/benelax-sabor-ciruela-x-30-sobres-140625/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),NUTRAPHARM,,Sobre,benelax,BENELAX,9d922c9e-3e42-4334-b29e-fb6da4452094
117954,Sl.Betacaroteno Cap.31,https://www.farmaloop.cl/products/slbetacaroteno-cap31-117954/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),MUNNICH PHARMA MEDICAL LIMITADA,,Unidad,,Betacaroteno,d37a4001-7d9c-456f-aed0-b2ec2865bc7c
138940,"Bion BB x 5,1 g Suspensión Oleosa En Gotas",https://www.farmaloop.cl/products/bion-bb-x-51-g-suspension-oleosa-en-gotas-138940/,true,Suplementos y Vitaminas,Vitaminas y Minerales,21990,22945,1,Venta directa (Sin receta),MERCK S.A.,,100 g,bifidobacterium lactis,Bifidobacterium Lactis,35bfacd2-fdbd-4a57-bc3b-d52841c4ba2b
16071,Muno x 30 Comprimidos,https://www.farmaloop.cl/products/muno-x-30-comprimidos-16071/,true,Suplementos y Vitaminas,Vitaminas y Minerales,16990,22999,6,Venta directa (Sin receta),AXON PHARMA SPA,,Comprimido,bifidobacterium lactis bl-04 | lactobacillus rhamnosus gg | vitamina c | vitamina d | lactitol monohidrato | xilitol | sorbitol | fructooligosacaridos | saborizante cereza natural | monogliceridos y digliceridos de acidos grasos | carmin | glucosido de esteviol,"Bifidobacterium Lactis Bl-04,Lactobacillus Rhamnosus Gg,Vitamina C,Vitamina D,Lactitol Monohidrato,Xilitol,Sorbitol,Fructooligosacaridos,Saborizante Cereza Natural,Monogliceridos Y Digliceridos De Acidos Grasos,Carmin,Glucosido De Esteviol",3759842c-a8d9-4a31-a84a-7722a42289b4
140639,Biotina + Zinc + Q10 x 20 tabletas efervescentes (German Energy),https://www.farmaloop.cl/products/biotina-zinc-q10-x-20-tabletas-efervescentes-german-energy-140639/,true,Suplementos y Vitaminas,Vitaminas y Minerales,3400,4290,10,Venta directa (Sin receta),SOC MEDICA IMPORTADORA Y COMERCIALIZADORA BIOPLUS SPA,,Tableta,biotina,BIOTINA,f71b2e02-751b-444a-a2ab-e0bc77e63c46
120744,Hvit Biotina 150 mcg 400 Comprimidos,https://www.farmaloop.cl/products/hvit-x-400-comprimidos-120744/,true,Suplementos y Vitaminas,Suplementos,16230,20290,2,Venta directa (Sin receta),LABORATORIO MEGALABS CHILE S.A.,,Comprimido,biotina,Biotina,18d42fde-856e-47ae-8203-04eb0e7a7e49
140314,Nutrapharm Biotina 150 mcg x 90 Cápsulas,https://www.farmaloop.cl/products/nutrapharm-biotina-150-mcg-x-90-capsulas-140314/,true,Suplementos y Vitaminas,Vitaminas y Minerales,5500,8990,8,Venta directa (Sin receta),NUTRAPHARM,,Capsula,biotina 150 mcg,Biotina,18d42fde-856e-47ae-8203-04eb0e7a7e49
139954,Biotina Ultra 120 cápsulas Aura Vitalis,https://www.farmaloop.cl/products/biotina-ultra-120-capsulas-aura-vitalis-139954/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),SIN COMPAÑIA,,Capsula,biotina 300 mcg | colageno hidrolizado | vitamina e | vitamina b1 | b2 | b3 | b5 | b6 | b12 | zinc.,"Biotina 300 mcg,, Colágeno Hidrolizado, Vitamina E, Vitamina B1, B2, B3, B5, B6, B12, zINC.",ca051d14-b94b-4387-b4b7-eb6b105e4570
140696,"Hidroferol Calcifediol 0,266 mg x 3 Capsulas Blandas",https://www.farmaloop.cl/products/hidroferol-calcifediol-0266-mg-x-3-capsulas-blandas-140696/,true,Suplementos y Vitaminas,Suplementos,24890,30990,5,Venta directa (Sin receta),FAES FARMA,,Capsula,calcifediol,Calcifediol,3efcad8d-36cc-4f64-aebf-a9ea73086ffd
61941,Sanotact Calcio + Vitamina D + Magnesio x 15 Comprimidos Efervescentes,https://www.farmaloop.cl/products/sanotact-calcio-vitamina-d-magnesio-x-15-comprimidos-efervescentes-61941/,true,Suplementos y Vitaminas,Vitaminas y Minerales,1500,2690,0,Venta directa (Sin receta),SOC MEDICA IMPORTADORA Y COMERCIALIZADORA BIOPLUS SPA,,Comprimido,,"Calcio,Magnesio,Calciferol (Vitamina D)",406582d0-abcb-4d76-9798-9193df1a39c5
138887,Pluscal x 30 Comprimidos,https://www.farmaloop.cl/products/pluscal-x-30-comprimidos-138887/,true,Suplementos y Vitaminas,Suplementos,24190,27490,3,Venta directa (Sin receta),LABORATORIO PASTEUR S.A.,,Comprimido,,"Calcio,Vitamina D3",ea5ce871-d733-4706-bfdb-dfc49bb2fde7
96701,Pluscal x 30 Comprimidos,https://www.farmaloop.cl/products/pluscal-x-30-comprimidos-96701/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),LABORATORIO PASTEUR S.A.,,Unidad,,"Calcio,Vitamina D3",ea5ce871-d733-4706-bfdb-dfc49bb2fde7
106927,Caldeval (500mg Ca++/400Ui Vitamina D),https://www.farmaloop.cl/products/caldeval-500mg-ca400ui-vitamina-d-106927/,true,Suplementos y Vitaminas,Suplementos,,,0,Presentación receta médica,LABORATORIOS SAVAL S A,,Comprimido,calcio | vitamina d3,"Calcio,Vitamina D3",ea5ce871-d733-4706-bfdb-dfc49bb2fde7
91168,Calcefor D x 60 Comprimidos,https://www.farmaloop.cl/products/calcefor-d-x-60-comprimidos-91168/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),LABORATORIO CHILE S A,,Capsula,,"Calcio,Vitamina D3",ea5ce871-d733-4706-bfdb-dfc49bb2fde7
91101,Calcefor D x 30 Comprimidos,https://www.farmaloop.cl/products/calcefor-d-x-30-comprimidos-91101/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),LABORATORIO CHILE S A,,Capsula,,"Calcio,Vitamina D3",ea5ce871-d733-4706-bfdb-dfc49bb2fde7
55422,Calcimax D3 Comprimidos,https://www.farmaloop.cl/products/calcimax-d3-comprimidos-55422/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),Gadorpharma SpA,,Comprimido,,"Calcio,Vitamina D3",ea5ce871-d733-4706-bfdb-dfc49bb2fde7
91147,Calcefor D Forte x 60 Comprimidos,https://www.farmaloop.cl/products/calcefor-d-forte-x-60-comprimidos-91147/,false,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),DEUTSCHE PHARMA S.A.,,Capsula,,"Calcio,Vitamina D3",ea5ce871-d733-4706-bfdb-dfc49bb2fde7
126301,Calcefor D Forte x 30 Comprimidos,https://www.farmaloop.cl/products/calcefor-d-forte-x-30-comprimidos-126301/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Venta directa (Sin receta),PRODUCTOS FARMACEUTICOS MEDIPHARM SPA,,Capsula,,"Calcio,Vitamina D3",ea5ce871-d733-4706-bfdb-dfc49bb2fde7
105877,"Caleobrol Calcitriol 0,25 Mcg",https://www.farmaloop.cl/products/caleobrol-calcitriol-025-mcg-105877/,false,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Presentación receta médica,LABORATORIOS RECALCINE SA,,Capsula,,Calcitriol,d4aeda74-3532-4859-a3a3-e2b059b32b8e
128922,"Rocaltrol Calcitriol 0,50Mcg",https://www.farmaloop.cl/products/rocaltrol-calcitriol-050mcg-128922/,true,Suplementos y Vitaminas,Vitaminas y Minerales,,,0,Presentación receta médica,ROCHE CHILE LIMITADA,,Capsula,calcitriol,Calcitriol,d4aeda74-3532-4859-a3a3-e2b059b32b8e
140321,Resvenox x 60 Capsulas,https://www.farmaloop.cl/products/resvenox-x-60-capsulas-140321/,true,Suplementos y Vitaminas,Suplementos,8990,12990,1,Venta directa (Sin receta),NUTRAPHARM,,Capsula,capsulas,Cápsulas,bb140ec8-11bc-44e2-bf22-1925612cbfec
139965,Cartilago D6 Knop x 50 Comprimidos,https://www.farmaloop.cl/products/cartilago-d6-knop-x-50-comprimidos-139965/,true,Suplementos y Vitaminas,Suplementos,,,0,Venta directa (Sin receta),KNOP LABORATORIOS S.A.,,Comprimido,cartilago d4 (2 mg),Cartílago D4 (2 mg),2e5980c3-ee16-45cb-9e05-ef7d05f199d7
