SKU;Producto;Categoria;Problemas
158852;"Anfebutamona Clorhidrato 300 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Laboratorio vacío o "No especificado""
131559;"Ansietil 30 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Laboratorio"
;"Aripiprazol 10 mg 3 x 10 comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
158896;"Aripiprazol 10 mg 30 comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto"
129717;"Aripiprazol 10mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto"
15438;"Aripiprazol 10mg 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
158897;"Aripiprazol 15 mg 30 comprimidos";Salud Mental;"Principio activo es igual al nombre del producto | Laboratorio vacío o "No especificado""
140237;"Aripiprazol 15 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
158898;"Aripiprazol 5 mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto | Indicación genérica: "Bienestar emocional y salud mental""
140238;"Arivitae 5 mg x 28 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Laboratorio"
95971;"Armonyl Compuesto Sol.Oral P/Gotas";Salud Mental;"Falta campo en bullets: Concentración | Principio activo es igual al nombre del producto"
96094;"Armonyl Dia 20 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración"
150908;"Armonyl Día x 60 Comprimidos";Salud Mental;"mojibake: +¡a → ía | mojibake: +¡ → í | Falta campo en bullets: Concentración | Indicación genérica: "trastornos de salud mental""
95512;"Armonyl Noche x 20 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración"
150909;"Armonyl Noche x 60 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Principio activo es igual al nombre del producto"
91183;"Asicot 200 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
104720;"Azymol Aripiprazol 10mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Laboratorio vacío o "No especificado""
104719;"Azymol Aripiprazol 15mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Laboratorio vacío o "No especificado""
83047;"Bectam 20 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
131232;"Betis 10 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Indicación genérica: "Bienestar emocional y salud mental""
131231;"Betis 5 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Indicación genérica: "Bienestar emocional y salud mental""
159482;"Binax Duloxetina 30mg 28 Cápsulas de Recubrimiento Entérico";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Laboratorio vacío o "No especificado""
110685;"Bromazepam 3mg 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
82340;"Bupredol 150mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Indicación genérica: "Bienestar emocional y salud mental""
82258;"Bupredol LP 150 mg x 60 Comprimidos";Salud Mental;"Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Indicación genérica: "Bienestar emocional y salud mental""
159537;"BUPREDOL TABL RECU LP 150 MG x 30 COMP";Salud Mental;"Principio activo es igual al nombre del producto | Laboratorio vacío o "No especificado" | Indicación genérica: "trastornos de salud mental""
53483;"Butrino 150mg 30 Comprimidos LP";Salud Mental;"Principio activo es igual al nombre del producto | Indicación genérica: "trastornos de salud mental""
150476;"Butrino XL 300 mg x 30 Comprimidos Recubiertos de Liberación Prolongada";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Laboratorio vacío o "No especificado""
53596;"Butrino XL Anfebutamona 150mg 30 Comprimidos Prolongados";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Laboratorio vacío o "No especificado""
106914;"Buxon 150 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Laboratorio vacío o "No especificado""
106922;"Buxon 150 mg x 60 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Laboratorio vacío o "No especificado""
99042;"Carbamazepina 200 mg x 20 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
110670;"Carbamazepina 200 mg x 20 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
150594;"Carbamazepina 200 mg x 20 Comprimidos (Cenabast)";Salud Mental;"Principio activo es igual al nombre del producto"
91307;"Carbamazepina 200mg 20 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
138360;"Carboron Retard 400 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
140492;"Chipten";Salud Mental;"Falta campo en bullets: Concentración"
105036;"Ciblex Mirtazapina 30mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
110663;"Ciclobenzaprina 10 mg x 20 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
82469;"Ciclobenzaprina 10 mg x 20 Tabletas";Salud Mental;"Principio activo es igual al nombre del producto"
91240;"Ciclobenzaprina 10mg 20 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Laboratorio"
53413;"Ciclobenzaprina Clorhidrato 10mg x 20 Unidades";Salud Mental;"Principio activo es igual al nombre del producto"
15059;"Circalife 3mg 30 Cápsulas";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
140355;"Circalife Melatonina Gotas";Salud Mental;"Falta campo en bullets: Concentración"
139525;"Citalopram 20 mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto"
91469;"Citalopram 20 mg 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
111431;"Citalopram 20mg Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
54594;"Citoneuron 30 Cápsulas";Salud Mental;"mojibake: +í → á | Falta campo en bullets: Concentración"
91199;"Clonazepam 0,5 mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
110635;"Clonazepam 0,5 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
82479;"Clonazepam 2 mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
140393;"Clonazepam 2 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto"
150003;"Clonazepam 2mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
53873;"Daksol 100 x 28";Salud Mental;"Falta campo en bullets: Concentración"
53872;"Daksol 50 x 28 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración"
151067;"Depakene Jarabe 250 mg/5 ml x 120 ml";Salud Mental;"Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Indicación genérica: "Bienestar emocional y salud mental""
120854;"Depurol Retard 37,5 x 30 Cápsulas";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Laboratorio vacío o "No especificado""
120853;"Depurol Retard Venlafaxina 37.5 mg x 20 cápsulas";Salud Mental;"mojibake: +í → á"
55384;"Deslafax 100 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Laboratorio"
150678;"Desvenlafaxina 100 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto"
150411;"Desvenlafaxina 100 mg x 30 Comprimidos Recubiertos de Liberación Prolongada";Salud Mental;"Principio activo es igual al nombre del producto"
150242;"Desvenlafaxina 50 mg x 30 Comprimidos Recubiertos (Momenta)";Salud Mental;"Principio activo es igual al nombre del producto"
150410;"Desvenlafaxina 50 mg x 30 Comprimidos Recubiertos de Liberación Prolongada";Salud Mental;"Principio activo es igual al nombre del producto"
104613;"Diazepam 10 mg";Salud Mental;"Principio activo es igual al nombre del producto"
90978;"Diazepam 10mg 20 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
110660;"Diazepam 10mg 20 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
90149;"Dilasedan Clotiazepam 10 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
140631;"Divalprex 500 mg x 50 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Laboratorio"
140576;"Divalprex Ácido Valproico 250mg 50 Comprimidos Recubiertos";Salud Mental;"mojibake: +ü → Á"
105392;"Dolnix";Salud Mental;"Falta campo en bullets: Concentración"
129731;"Donepezilo Clorhidrato 10 mg 30 Comprimidos";Salud Mental;"Indicación genérica: "trastornos de salud mental""
140444;"Duloxetina 30 mg x 28 Cápsulas";Salud Mental;"mojibake: +í → á | Principio activo es igual al nombre del producto"
158903;"Duloxetina 30 mg x 30 cápsulas";Salud Mental;"mojibake: +í → á | Principio activo es igual al nombre del producto"
140156;"Duloxetina 30 mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á | Principio activo es igual al nombre del producto"
129720;"Duloxetina 60 mg  30 Cápsulas";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
158904;"Duloxetina 60 mg 30 cápsulas";Salud Mental;"mojibake: +í → á | Principio activo es igual al nombre del producto"
15417;"Duloxetina 60 mg x 30 Capsulas";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
91178;"Ectiban 10 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto | Indicación genérica: "trastornos de salud mental""
91348;"Ectien XR 37,5 mg x 30 Cápsulas con MicroGránulos Recubiertos de Liberación Prolongada";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Laboratorio"
107770;"Efexor XR 37,5 mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á"
107769;"Efexor XR 75 mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á"
105062;"Eleval Sertralina 50 mg x 60 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
52803;"Elontril XL Anfebutamona 150mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Laboratorio vacío o "No especificado""
52804;"Elontril XL Anfebutamona 300mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Laboratorio vacío o "No especificado""
120936;"Escitalopram 10 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
110666;"Escitalopram 10 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
151098;"Escitalopram 10 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
150605;"Escitalopram 10 mg x 30 Comprimidos (Cenabast)";Salud Mental;"Principio activo es igual al nombre del producto"
150790;"Escitalopram 10 mg x 30 Comprimidos (Cenabast)";Salud Mental;"Principio activo es igual al nombre del producto"
140050;"Escitalopram 10 mg x 30 Comprimidos Recubiertos";Salud Mental;"Principio activo es igual al nombre del producto"
150211;"Escitalopram 10 mg x 30 Comprimidos Recubiertos";Salud Mental;"Principio activo es igual al nombre del producto"
91303;"Escitalopram 10mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
129750;"Escitalopram 10mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
129707;"Escitalopram 20 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Principio activo es igual al nombre del producto | Indicación genérica: "Bienestar emocional y salud mental""
52865;"Escitalopram Com Rec 10 mg";Salud Mental;"Principio activo es igual al nombre del producto"
151036;"Eszopiclona 3mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
150097;"Eszopiclona 3mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
131516;"Eutebrol 10 mg x 60 Comprimidos";Salud Mental;"Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio | Indicación genérica: "Bienestar emocional y salud mental""
107054;"Evocaz CD 5 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto | Indicación genérica: "trastornos de salud mental""
131547;"Fapris 50 Mg X 30 Comp";Salud Mental;"Principio activo es igual al nombre del producto"
90983;"Fenitoina Sodica 100 mg 30 comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
150098;"Fenobarbital 100mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
140785;"Flumazenil 0,5mg/5ml x 10 amp";Salud Mental;"Principio activo es igual al nombre del producto"
82388;"Fluoxetina 20 mg x 20 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
150480;"Fluoxetina 20 mg x 60 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
91073;"Fluoxetina 20mg 20 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
119603;"Fluoxetina 20mg x 20 Comp";Salud Mental;"Principio activo es igual al nombre del producto"
110490;"Fluoxetina 20mg x 20 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
15442;"Gabapentina 300 mg x 30 Capsulas";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
15443;"Gabapentina 400 mg  30 Cápsulas";Salud Mental;"mojibake: +í → á | Principio activo es igual al nombre del producto | Doble espacio en title_optimizado | Doble espacio en meta_description_optimizado | Doble espacio en descripcion_intranet"
98677;"Gamalate B6 x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración"
99129;"Gamalate B6 x 60 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración"
140623;"Gofyl (B) 200mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
140624;"Gofyl 100 mg x 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
140596;"Gofyl 25mg x 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
90959;"Grifoparkin Carbidopa/Levodopa 25/250 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración"
131323;"Haloperidol 1mg 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
131325;"Haloperidol 5 mg x 20 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
140679;"Haloperidol 5 mg x 20 Comprimidos (CENABAST)";Salud Mental;"Principio activo es igual al nombre del producto"
150195;"Haloperidol 5mg/ml x 100 ampollas";Salud Mental;"Principio activo es igual al nombre del producto"
131359;"Hexalectol x 50 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Principio activo es igual al nombre del producto"
140264;"Imipramina Clorhidrato 25 mg x 40 grageas";Salud Mental;"Principio activo es igual al nombre del producto"
91000;"Imipramina Clorhidrato 25mg 40 Comprimidos Recubiertos";Salud Mental;"Principio activo es igual al nombre del producto"
140391;"Ipran Escitalopram 10mg 40 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
105633;"Ipran Escitalopram 20mg 40 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
140807;"Irazem ODT 10 x 28 Comprimidos Bucodispersables";Salud Mental;"Falta campo en bullets: Concentración"
57086;"Keppra Levetiracetam 500mg 60 Comprimidos Recubiertos";Salud Mental;"Doble espacio en title_optimizado | Doble espacio en descripcion_intranet"
150820;"Lacosamida 100 mg  30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto | Doble espacio en title_optimizado | Doble espacio en meta_description_optimizado | Doble espacio en descripcion_intranet"
159031;"Lacosamida 100mg 30 comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
;"Lamictal 50 mg x 30 Comprimidos Dispersables";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
91415;"Lamotrigina 100 mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
150212;"Lamotrigina 100 mg x 30 comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
119604;"Lamotrigina 100mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
91413;"Lamotrigina 25 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
91414;"Lamotrigina 50 mg x 30 Cd";Salud Mental;"Principio activo es igual al nombre del producto"
150138;"Lamotrigina 50 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
105401;"Lerogin x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración"
129688;"Levetiracetam 1000 mg x 30 Comprimidos Recubiertos";Salud Mental;"Principio activo es igual al nombre del producto"
150623;"Levetiracetam 1000mg x 30 Comprimidos (Cenabast)";Salud Mental;"Principio activo es igual al nombre del producto"
150214;"Levetiracetam 500 mg x 30 Comprimidos Recubiertos";Salud Mental;"Principio activo es igual al nombre del producto"
140491;"Levetiracetam Solución Oral 100 mg /300 ml";Salud Mental;"Principio activo es igual al nombre del producto | Doble espacio en title_optimizado | Doble espacio en descripcion_intranet"
140111;"Levibense 200/50 x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración"
104814;"Lorazepam 2 mg x 30 comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
150089;"Lorazepam 4mg/2ml x 1 Ampolla";Salud Mental;"Principio activo es igual al nombre del producto"
159518;"Luradon Lurasidona 20mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Laboratorio vacío o "No especificado""
138936;"Luvox Fluvoxamina Maleato 100mg 30 Comprimidos";Salud Mental;"Indicación genérica: "trastornos de salud mental""
120093;"Lyrica 150 mg x 14 Cápsulas";Salud Mental;"mojibake: +í → á"
120094;"Lyrica 150 mg x 28 Cápsulas";Salud Mental;"mojibake: +í → á"
120245;"Lyrica 25 mg x 14 Cápsulas";Salud Mental;"mojibake: +í → á"
120091;"Lyrica 75 mg x 14 Cápsulas";Salud Mental;"mojibake: +í → á"
120092;"Lyrica 75 mg x 28 Cápsulas";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Laboratorio vacío o "No especificado""
91341;"Madozide 200/50 x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración"
140415;"Melatonina 3 mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á | Principio activo es igual al nombre del producto"
15079;"Melatonina 3 mg x 30 Capsulas";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Principio activo es igual al nombre del producto | Laboratorio vacío o "No especificado""
150942;"Melatonina 3 mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á | Principio activo es igual al nombre del producto | Laboratorio vacío o "No especificado""
53496;"Melatonina 3 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
85986;"Melipass x 24 Capsulas";Salud Mental;"Falta campo en bullets: Concentración"
85987;"Melipass x 60 Cápsulas";Salud Mental;"mojibake: +í → á | Falta campo en bullets: Concentración"
86063;"Melissa E.F. Frasco X 30 Cc";Salud Mental;"Falta campo en bullets: Concentración"
140273;"Memantina 20 mg x 30 comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
140272;"Memantina Clorhidrato 10mg 60 Comprimidos Recubiertos";Salud Mental;"Principio activo es igual al nombre del producto"
106115;"Memorex x 60 Capsulas";Salud Mental;"Falta campo en bullets: Concentración"
106358;"Mimetix Odt 20 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto | Indicación genérica: "trastornos de salud mental""
150458;"Mirtazapina 30 mg 30 comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
90960;"Morelin x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Principio activo | Falta campo en bullets: Concentración | Falta campo en bullets: Indicación | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
90044;"Movigil Modafinilo 200mg 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Laboratorio vacío o "No especificado""
159535;"NEOARADIX TABL 10mg x 30";Salud Mental;"Principio activo es igual al nombre del producto"
159536;"NEOARADIX TABL 5 MG x 30 COMP";Salud Mental;"Principio activo es igual al nombre del producto"
106508;"Neoresotyl 50 mg x 30 Comprimidos";Salud Mental;"Principio activo es igual al nombre del producto"
125930;"Nervoheel x 50 Comprimidos Sublinguales";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Laboratorio"
125983;"Neurexan x 50 Comprimidos Sublinguales";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Laboratorio"
150815;"Neurostab 60 mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á"
107037;"Neuroval Cd 10 mg x 30 Comprimidos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Laboratorio"
119615;"Nevinex 150 mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á"
150254;"Nezel XR 150mg x 30 Cápsulas";Salud Mental;"mojibake: +í → á"
150731;"Nortium Quetiapina 25mg 30 Comprimidos Recubiertos";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
140389;"Nortium XR 50 mg 30 Comprimidos Recubiertos de Liberación Prolongada";Salud Mental;"Falta campo en bullets: Concentración | Falta campo en bullets: Vía de administración | Falta campo en bullets: Receta médica | Falta campo en bullets: Laboratorio"
